ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
89,89,Kai Soman,56,5,1,1,1
90,90,Krish Wali,64,3,3,4,1
91,91,Warinder Varkey,28,3,3,3,2
92,92,Kevin Dalal,57,4,1,4,2
93,93,Ishanvi Ranganathan,28,3,4,2,1
94,94,Oviya Mahal,30,1,2,4,1
95,95,Banjeet Sahota,25,4,2,1,2
96,96,Indrajit Parikh,33,3,4,1,2
97,97,Baljiwan Memon,45,1,4,2,1
98,98,Arya Keer,64,2,4,2,1
99,99,Kamya Gulati,19,2,3,3,1
100,100,Hritik Master,50,5,1,2,2
101,101,Thomas Divan,25,1,1,2,1
102,102,Saksham Mandal,66,2,1,4,2
103,103,Rohan Kapur,23,4,1,2,1
104,104,Shravya Verma,24,3,1,3,1
105,105,Xiti Sant,42,2,2,1,2
106,106,Advik Dugal,60,4,1,3,1
107,107,Gavin Subramanian,51,3,1,1,2
108,108,Chaaya Sundaram,52,4,1,4,1
109,109,Riya Kota,46,3,4,3,1
110,110,Chatresh Vaidya,19,1,1,2,1
111,111,Ekanta Agate,55,5,4,4,1
112,112,Hitesh Kara,57,4,4,2,1
113,113,Netra Varghese,23,5,3,2,2
114,114,Chandran Kanda,66,5,3,2,2
115,115,Anay Boase,38,2,4,3,2
116,116,Amruta Gola,29,5,1,3,1
117,117,Zayan Kari,68,2,3,3,2
118,118,Nidhi Trivedi,31,4,4,4,2
119,119,Nidhi Chakrabarti,47,1,1,3,2
120,120,Warinder Nayar,26,5,3,3,1
121,121,Guneet Kannan,18,5,4,1,2
122,122,Chavvi Patla,65,3,2,4,1
123,123,Parth Banerjee,61,4,2,4,2
124,124,Ishwar Goswami,49,3,3,4,2
125,125,Ladli Behl,31,5,1,4,2
126,126,Isaac Devi,64,3,2,1,2
127,127,Jhalak Bali,56,2,4,1,2
128,128,Mekhala Malhotra,57,5,4,1,2
129,129,Bhavika Sathe,59,3,1,2,2
130,130,Vansha Roy,45,4,1,3,1
131,131,Ladli Parmer,32,2,2,1,2
132,132,Zinal Ganguly,41,1,1,4,2
133,133,Vidhi Ram,65,2,4,4,1
134,134,Omaja Anand,54,3,1,3,2
135,135,Falak Dugar,24,2,1,4,1
136,136,Osha Zachariah,45,5,2,3,2
137,137,Jyoti Gola,59,3,4,1,2
138,138,Bakhshi Kaur,55,4,4,4,1
139,139,Yutika Sengupta,33,2,2,1,2
140,140,Rajeshri Dani,50,1,2,1,1
141,141,Faras Gulati,70,1,1,3,1
142,142,Frado Mand,29,2,2,3,1
143,143,Qabil Karpe,49,2,1,4,2
144,144,Ucchal Master,30,3,4,2,1
145,145,Michael Mall,35,4,1,1,2
146,146,Amruta Gokhale,48,5,2,3,2
147,147,Anamika Soman,20,5,3,3,2
148,148,Teerth Bhasin,18,2,2,2,1
149,149,Rohan Doctor,59,4,1,3,2
150,150,Harita Dash,58,3,4,2,1
151,151,Udant Srinivas,61,2,1,4,1
152,152,Bimala Dayal,55,1,1,4,1
153,153,Neelima Char,30,5,3,2,2
154,154,Dayamai Gole,62,1,2,1,2
155,155,Avi Koshy,23,4,4,4,1
156,156,Anvi Boase,54,1,2,4,2
157,157,Manthan Taneja,22,3,1,2,2
158,158,Thomas Dave,36,1,1,2,1
159,159,Manan Dani,55,1,1,1,2
160,160,Yashodhara Narasimhan,55,1,1,2,1
161,161,Maya Varghese,45,4,1,4,2
162,162,Anamika Murthy,26,5,4,1,2
163,163,Zaid Sidhu,31,1,3,2,1
164,164,Yauvani Prashad,50,1,1,1,1
165,165,Hredhaan Bhatnagar,42,1,2,4,1
166,166,Gaurang Bedi,30,4,2,2,1
167,167,Kiaan Kale,56,3,1,4,1
168,168,Gautami Kala,70,2,2,4,1
169,169,Rehaan Shenoy,61,2,3,3,1
170,170,Waida Oak,54,4,2,3,2
171,171,Madhavi Sawhney,36,4,4,3,1
172,172,Nachiket Mall,68,3,2,4,1
173,173,Jai Sachdev,55,1,4,1,2
174,174,Ansh Raju,38,5,1,1,1
175,175,Anthony Thakur,66,4,4,2,1
176,176,Harita Rastogi,29,1,1,3,1
177,177,Omaja Iyer,52,3,4,2,1
178,178,Veda Sodhi,66,4,1,2,1
179,179,Varenya Bhat,33,4,2,2,2
180,180,Megha Rama,40,4,3,2,2
181,181,Faras Ganesh,20,1,1,3,1
182,182,Tamanna Mannan,58,3,2,3,2
183,183,Gavin Dada,45,5,4,2,1
184,184,Kevin Dave,31,2,2,1,1
185,185,Januja Varma,24,2,2,2,1
186,186,Jacob Nayak,64,2,1,2,1
187,187,Shravya Anand,22,2,2,4,1
188,188,Manbir Hari,56,4,2,3,1
189,189,Jeevika Walia,42,1,4,2,2
190,190,Girik Sekhon,42,3,1,4,1
191,191,Arunima Balakrishnan,31,2,1,2,1
192,192,Jacob Andra,61,1,3,1,2
193,193,Lucky Parmer,33,5,4,1,2
194,194,Suhani Wagle,64,1,4,1,1
195,195,Vritti Natarajan,26,1,2,4,1
196,196,Netra Badal,36,3,4,4,1
197,197,Ekiya Salvi,30,3,1,2,1
198,198,Wyatt Karpe,50,5,4,1,1
199,199,Manya Chanda,58,2,2,2,2
200,200,Simon Sethi,68,4,3,3,2
201,201,Jai Jaggi,68,1,4,1,1
202,202,Gaurav Kunda,23,3,3,4,1
203,203,Ayaan Thakur,36,3,4,1,2
204,204,Matthew Khurana,22,1,2,1,2
205,205,Yachana Sura,52,1,4,3,2
206,206,Bhavna Sahni,18,1,1,3,1
207,207,Raghav Venkataraman,21,2,1,1,2
208,208,Caleb Krishna,46,5,2,4,1
209,209,Tara Prabhakar,18,2,4,2,2
210,210,Pooja Mandal,33,3,2,4,2
211,211,Siddharth Ganguly,38,5,4,3,2
212,212,Jeet Vig,64,4,4,1,1
213,213,Ekalinga Khurana,33,2,4,3,2
214,214,Jasmit Wason,70,1,1,4,2
215,215,Gavin Dhaliwal,56,3,4,2,1
216,216,Rehaan Ramanathan,59,1,3,1,1
217,217,Amrita Sami,51,1,1,3,2
218,218,Diya Mahajan,36,3,4,4,2
219,219,Yashasvi Singhal,51,3,2,3,1
220,220,Kai Kale,67,5,1,2,2
221,221,Ekantika Palan,52,5,4,2,2
222,222,Nathaniel Sankar,54,3,4,2,1
223,223,Tristan Dar,51,1,1,3,2
224,224,Ishanvi Krishnan,36,5,1,2,2
225,225,Turvi Parikh,54,2,3,1,2
226,226,Amol Cheema,68,2,1,2,2
227,227,Mohammed Ramakrishnan,44,2,3,1,1
228,228,Sneha Gopal,44,4,3,3,1
229,229,Ishaan Brar,39,2,2,1,2
230,230,Urmi Anand,64,4,3,1,2
231,231,Ishanvi Chaudhary,22,2,4,2,2
232,232,Saumya Baral,38,4,3,2,2
233,233,Barkha Pingle,65,3,4,1,2
234,234,Geetika Bhandari,28,4,2,3,2
235,235,Chandresh Nagarajan,55,4,2,3,1
236,236,Yashasvi Thakkar,53,2,1,1,1
237,237,Warda Memon,23,5,3,1,1
238,238,Adweta Merchant,27,4,2,2,2
239,239,Zilmil Comar,60,3,4,1,1
240,240,Urishilla Ben,44,3,3,2,2
241,241,Charan Nagarajan,37,4,3,1,1
242,242,Aarush Palan,30,1,1,1,1
243,243,Hamsini Prashad,47,1,4,2,2
244,244,Harrison Kothari,50,5,2,2,2
245,245,Yasti Sibal,40,4,3,2,2
246,246,Lavanya Jayaraman,52,5,3,2,2
247,247,Pratyush Shere,47,1,2,4,1
248,248,Dhruv Master,49,4,2,1,1
249,249,Udarsh Deshmukh,67,3,1,1,1
250,250,Anya Lanka,70,4,2,4,2
251,251,Raksha Keer,49,4,2,4,2
252,252,Netra Lanka,20,1,4,4,2
253,253,Atharv Khurana,20,3,4,4,1
254,254,Ekanta Krish,45,1,3,4,2
255,255,Faraj Mutti,23,2,3,2,2
256,256,Anusha Kara,63,1,4,1,2
257,257,Kritika Iyer,53,1,1,1,2
258,258,Reva Anne,20,1,2,3,1
259,259,Ekiya Bala,38,1,4,2,1
260,260,Rajata Lalla,59,5,1,1,2
261,261,Zaitra Narula,40,3,3,1,1
262,262,Samesh Zacharia,63,5,1,1,1
263,263,Anay Lall,44,5,4,4,1
264,264,Ekantika Parmar,31,1,4,3,1
265,265,Logan Loyal,49,2,1,4,1
266,266,Jason Khalsa,19,3,1,2,1
267,267,Ayushman Buch,22,5,4,1,2
268,268,Wazir Madan,21,4,3,4,2
269,269,Meera Pall,62,5,1,3,2
270,270,Leena Nadig,26,2,4,1,1
271,271,Samarth Nayak,29,1,4,4,2
272,272,Saksham Datta,19,4,2,3,1
273,273,Rohan Dua,69,5,2,2,1
274,274,Darsh Narang,70,5,4,4,2
275,275,Hamsini Sampath,23,4,1,3,2
276,276,Nihal Mukhopadhyay,31,4,3,3,1
277,277,Pushti Ram,56,1,4,3,1
278,278,Om Chatterjee,49,2,4,3,2
279,279,Charita Baral,35,5,2,1,1
280,280,Qushi Mani,37,2,1,1,2
281,281,Yashawini Sood,19,4,2,2,1
282,282,Omaja Rajan,60,1,2,3,1
283,283,Frederick Singhal,27,5,4,4,2
284,284,Arjun Radhakrishnan,61,3,3,3,2
285,285,Lila Chad,22,1,3,1,1
286,286,Ranveer Wali,70,4,4,4,1
287,287,Ijaya Atwal,42,3,2,2,1
288,288,Ojas Sanghvi,57,4,1,3,1
289,289,Falan Dutt,23,4,3,4,2
290,290,Theodore Raj,68,4,3,4,2
291,291,Parth Sekhon,69,2,3,3,1
292,292,Chanchal Hayre,60,3,3,4,1
293,293,Matthew Bhattacharyya,63,2,1,1,2
294,294,Darika Swamy,36,3,4,2,1
295,295,Dhriti Kakar,70,4,2,3,1
296,296,Aryan Dhingra,27,4,3,4,2
297,297,Samarth Dora,21,5,2,2,1
298,298,Aryan Chopra,27,1,1,3,2
299,299,Nidra Mitter,68,4,2,3,1
300,300,Caleb Buch,54,2,2,3,1
301,301,Amrita Sharaf,65,1,4,2,2
302,302,Peter Chakrabarti,60,1,4,1,2
303,303,Varsha Chawla,35,5,2,2,2
304,304,Dayamai Bhattacharyya,67,5,4,2,2
305,305,Charita Mody,46,1,2,1,2
306,306,Amrita Kanda,33,2,1,2,1
307,307,Udarsh Khurana,45,3,4,4,2
308,308,Vidhi Pathak,28,4,4,4,1
309,309,Barkha Madan,21,5,3,2,2
310,310,Guneet Sehgal,34,1,2,4,2
311,311,Wakeeta Sinha,36,3,3,2,2
312,312,Udarsh Master,18,5,1,1,1
313,313,Devansh Divan,19,4,3,2,1
314,314,Neha Som,30,5,4,2,2
315,315,Harinakshi Rana,59,3,1,3,2
316,316,Harsh Chandra,35,3,1,1,1
317,317,Yug Yogi,67,2,4,3,1
318,318,Yamini Mohanty,41,5,1,3,1
319,319,Omya Bala,49,1,3,3,1
320,320,Ganga Bajaj,45,5,2,1,1
321,321,Jagrati Pandya,23,1,3,2,2
322,322,Bhavika Ravi,52,1,2,4,1
323,323,Guneet Shankar,36,3,3,1,1
324,324,Mason Savant,64,3,2,4,2
325,325,Bhanumati Uppal,61,3,2,2,2
326,326,Zayan Comar,34,1,4,3,1
327,327,Warinder Panchal,29,2,3,2,1
328,328,Kavya Manne,21,5,3,1,2
329,329,Saanvi Saxena,58,3,3,1,1
330,330,Veer Dhingra,57,3,4,4,1
331,331,Ishita Master,54,1,2,2,1
332,332,Alka Bal,70,3,3,2,2
333,333,Ekavir Thakur,36,2,2,4,1
334,334,Raksha Palla,51,3,2,2,1
335,335,Pratyush Muni,26,5,3,3,2
336,336,Lajita Varkey,67,3,2,4,2
337,337,Inaya Chana,53,5,3,2,2
338,338,Pavani Sachdeva,47,2,4,2,1
339,339,Chaaya Doshi,69,4,1,4,1
340,340,Tanvi Chanda,50,1,2,1,2
341,341,Yatan Devi,41,1,4,1,2
342,342,Bina Lall,54,3,3,1,1
343,343,Ladli Dua,67,1,1,3,1
344,344,Sanaya Dey,37,5,1,4,1
345,345,Sneha Comar,69,4,2,3,1
346,346,Manan Vora,70,4,3,1,1
347,347,Deepa Mandal,28,1,1,3,2
348,348,Guneet Balasubramanian,59,5,1,4,1
349,349,Anthony Shan,25,1,3,2,2
350,350,Benjamin Mahajan,39,1,2,1,1
351,351,Gunbir Biswas,20,4,1,4,2
352,352,Nitara Patla,67,2,2,2,2
353,353,Indira Raghavan,18,2,2,3,1
354,354,Wriddhish Bains,21,1,2,3,1
355,355,Zayan D’Alia,23,1,1,3,1
356,356,Laksh Deo,25,5,1,4,1
357,357,Kevin Parmar,22,3,2,2,1
358,358,Gaurangi Dara,49,5,1,1,2
359,359,Bishakha Mitter,27,4,2,3,1
360,360,Vritti Iyer,70,4,4,1,1
361,361,Sai Nadkarni,53,2,1,1,1
362,362,Bahadurjit Vaidya,36,2,2,4,2
363,363,Ishani Balan,63,5,1,1,2
364,364,Siddharth Sha,37,3,1,1,2
365,365,Girindra Savant,32,3,4,4,2
366,366,Zinal Bakshi,53,1,1,1,1
367,367,Krisha Natt,38,3,3,4,2
368,368,Pavani Jayaraman,27,4,1,1,2
369,369,Jagdish Deep,50,5,1,2,1
370,370,Vedika Sharma,22,3,4,2,2
371,371,Ekta Tata,59,2,3,4,2
372,372,Ishwar Lalla,70,2,3,1,1
373,373,Aahana Andra,59,3,4,3,2
374,374,Yashawini Mukherjee,62,5,2,3,2
375,375,Ekanta Johal,65,2,4,3,2
376,376,Ekavir Tailor,56,4,1,2,1
377,377,Quincy Mishra,26,3,3,3,2
378,378,Nakul Thaman,22,3,2,4,2
379,379,Tejas Sethi,26,4,4,3,1
380,380,Kevin Raval,55,3,2,2,1
381,381,Wriddhish Sanghvi,35,4,1,4,1
382,382,Ronith Desai,39,4,3,2,1
383,383,Jhalak Palla,57,4,2,3,1
384,384,Kamala Dass,62,1,3,4,2
385,385,Yuvraj Chaudhari,51,3,1,4,1
386,386,Joshua Shroff,33,4,2,1,1
387,387,Ishaan Deshmukh,46,1,1,4,2
388,388,Prisha Pandya,55,5,2,1,2
389,389,Eesha Sharaf,40,2,1,4,1
390,390,Chavvi Boase,60,4,2,2,2
391,391,Samar Chokshi,37,2,4,1,2
392,392,Chanchal Kakar,40,4,2,3,2
393,393,Adya Deol,40,3,2,4,1
394,394,Neha Murthy,39,5,3,4,2
395,395,Jeet Buch,42,3,2,2,1
396,396,Devika Gaba,47,4,4,4,2
397,397,Bhavna Uppal,70,2,3,4,2
398,398,Yochana Ahuja,21,3,4,3,1
399,399,Liam Sundaram,48,4,1,1,1
400,400,Kritika Batra,33,2,2,3,1
401,401,Manya Pai,56,4,3,1,2
402,402,Yutika Bera,53,3,1,1,1
403,403,Harinakshi Sachar,59,5,1,3,2
404,404,Harinakshi Raman,47,3,3,3,2
405,405,Keya Mitra,55,3,3,1,1
406,406,Riya Taneja,65,1,1,3,2
407,407,Aarnav Talwar,32,2,2,2,1
408,408,Tanish Rattan,47,2,1,1,1
409,409,Chandran Devi,52,1,2,1,1
410,410,Neel Bal,34,3,1,3,2
411,411,Lohit Borde,25,5,4,2,1
412,412,Wazir Magar,40,1,3,3,1
413,413,Veer Mishra,55,4,3,4,1
414,414,Jagvi Dada,70,5,4,2,1
415,415,Dhruv Koshy,22,4,2,1,2
416,416,Nachiket Agate,61,5,4,3,1
417,417,Nimrat Raja,64,2,3,4,2
418,418,Jalsa Bhakta,62,1,3,3,1
419,419,Mohini Koshy,51,1,2,1,1
420,420,Hema Sanghvi,44,3,4,4,1
421,421,Wriddhish Pingle,68,3,2,4,2
422,422,Tanay Nadkarni,46,4,2,4,2
423,423,Vrishti Chana,48,4,4,2,2
424,424,Tejas Thakur,64,5,3,4,2
425,425,Upadhriti Sha,32,3,3,1,1
426,426,Tejas Naidu,43,3,1,2,1
427,427,Madhavi Barad,68,5,3,4,2
428,428,Yahvi Magar,38,1,3,2,1
429,429,Nachiket Baria,67,2,1,4,1
430,430,Yahvi Garde,29,1,3,3,1
431,431,Chaitaly Kohli,55,5,1,4,1
432,432,Niharika Halder,22,4,2,1,1
433,433,Turvi Brar,40,5,1,4,2
434,434,Samarth Shankar,31,1,3,3,2
435,435,Andrew Bhatti,43,2,3,3,1
436,436,Nisha Dash,33,4,4,2,1
437,437,Radha Atwal,46,4,1,3,2
438,438,Ira Thakur,67,4,2,1,2
439,439,Dayita Dutta,50,4,2,3,2
440,440,Ikbal Jha,42,4,1,1,2
441,441,Gopal Kumar,46,3,3,1,1
442,442,Neha Hans,30,1,2,3,1
443,443,Wishi Soni,37,3,2,2,1
444,444,Naksh Mitter,34,1,2,2,2
445,445,Girindra Shan,68,4,2,1,2
446,446,Wishi Khosla,45,3,4,3,1
447,447,Chandran Subramaniam,39,1,4,2,2
448,448,Lohit Gole,47,2,4,1,1
449,449,David Naik,23,5,2,3,2
450,450,Qasim Rama,54,2,1,1,1
451,451,Varsha Thaman,61,1,3,1,1
452,452,Krisha Devi,25,3,1,3,2
453,453,Nachiket Bala,53,4,3,4,2
454,454,Reyansh Manda,54,1,1,3,1
455,455,Sneha Batta,38,2,4,3,2
456,456,Anita Uppal,24,2,1,4,1
457,457,Manya Behl,31,2,1,4,2
458,458,Chatura Krishnamurthy,46,4,2,3,2
459,459,Hemal Naik,46,3,4,4,2
460,460,Vivaan Pau,36,2,4,4,1
461,461,Ekani Sant,44,1,1,3,1
462,462,Isha Nanda,58,4,3,3,1
463,463,Samuel Pathak,58,3,1,2,1
464,464,Wahab Mahal,69,1,3,3,1
465,465,Rajata Sem,37,4,4,1,1
466,466,Rachana Mann,47,2,1,1,1
467,467,Wridesh Narayan,36,5,3,3,2
468,468,Bhavika Sawhney,48,5,1,3,1
469,469,Hemang Wadhwa,49,4,2,1,2
470,470,Veda Suri,20,5,4,2,1
471,471,Ekapad Edwin,62,4,1,4,2
472,472,Harish Chacko,70,1,2,4,2
473,473,Arunima Kota,58,5,1,3,2
474,474,Advika Madan,49,4,4,1,2
475,475,Hemangini Brahmbhatt,30,1,2,2,2
476,476,Gavin Raja,48,4,2,4,2
477,477,Radha Chand,48,3,1,4,1
478,478,Adweta Maharaj,35,1,3,3,1
479,479,Jackson Iyengar,51,5,2,1,2
480,480,Akshay Sur,18,3,3,4,1
481,481,Vasatika Sinha,39,1,2,2,1
482,482,Ayush Krishnan,23,5,1,1,1
483,483,Yatan Mody,42,2,2,3,2
484,484,Jagrati Bhatti,50,2,3,1,2
485,485,Pranit Peri,66,5,4,4,2
486,486,Ria Dutt,39,2,3,2,1
487,487,Nicholas Guha,69,1,2,4,1
488,488,Edhitha Tank,69,4,3,2,2
489,489,Ekansh Patil,27,1,4,3,2
490,490,Ekta Agrawal,29,5,4,3,1
491,491,Agastya Sawhney,57,3,2,3,1
492,492,Ubika Sanghvi,63,3,3,1,1
493,493,Tanish Sandhu,40,1,1,1,2
494,494,Dhruv Taneja,29,1,1,1,2
495,495,Aayush Choudhary,62,4,4,1,1
496,496,Yatin Mital,53,2,4,2,1
497,497,Yamini Dutt,47,5,1,1,2
498,498,Ekavir Roy,59,2,2,4,1
499,499,Mugdha Subramaniam,62,2,3,1,1
500,500,Jyoti Basak,57,4,2,3,1
501,501,Pushti Bal,59,3,2,3,2
502,502,Krishna Anand,36,2,3,4,1
503,503,Andrew Thakur,69,3,3,3,2
504,504,Nachiket Boase,22,1,2,1,1
505,505,Ansh Badami,58,4,1,1,2
506,506,Mohammed Buch,46,1,2,4,1
507,507,Nathan Nayak,66,2,3,3,1
508,508,Radhika Krishna,19,4,2,1,1
509,509,Liam Tandon,42,1,2,2,1
510,510,Saanvi Varughese,22,3,4,4,1
511,511,Ishanvi Rajagopal,49,4,1,3,2
512,512,Harshil Sen,29,3,4,3,2
513,513,Gunbir Agrawal,43,3,1,3,2
514,514,Aachal Iyer,57,4,1,3,2
515,515,Yadavi Bedi,27,4,3,1,2
516,516,Ishanvi Gala,49,2,3,1,1
517,517,Aradhana Prashad,60,4,4,1,2
518,518,Advik Sampath,40,1,1,1,1
519,519,Tripti Dutt,59,1,2,1,2
520,520,Harrison Madan,53,2,3,3,2
521,521,Ikbal Salvi,30,3,2,4,2
522,522,Samarth Gola,28,1,3,3,1
523,523,Karan Raman,57,1,1,3,2
524,524,George Tara,58,5,3,3,1
525,525,Mugdha Khosla,27,1,1,2,1
526,526,Aarnav Rana,66,5,4,4,1
527,527,Mohammed Lal,67,2,3,2,2
528,528,Yadavi Verma,21,4,4,4,1
529,529,Zayan Dalal,64,3,4,2,2
530,530,Nimrat Randhawa,34,2,3,3,2
531,531,Hemani Nayar,26,4,2,2,2
532,532,Lakshit Morar,36,2,2,4,2
533,533,Anika Lata,19,5,2,4,1
534,534,Ikshita Pall,38,2,4,4,1
535,535,Hemangini Naidu,59,4,4,2,2
536,536,Viraj Modi,52,2,2,2,1
537,537,Farhan Chawla,62,1,3,2,1
538,538,Hredhaan Grewal,29,5,1,2,1
539,539,Lohit Tiwari,42,5,3,2,1
540,540,Benjamin Kothari,26,2,1,1,1
541,541,Yadavi Kapur,42,4,4,4,1
542,542,Theodore Rana,18,5,4,4,1
543,543,Advik Goel,24,3,2,3,2
544,544,Frederick Sharma,46,5,2,2,2
545,545,Alexander Chander,65,2,3,2,1
546,546,Xalak Virk,43,1,2,1,1
547,547,Yochana Gandhi,48,3,2,2,2
548,548,Nikita Sachar,64,3,2,3,1
549,549,Qasim Kapadia,26,3,3,2,1
550,550,Netra Sood,59,3,4,3,1
551,551,Unnati Chaudhuri,39,5,1,1,1
552,552,Qushi Bhardwaj,66,1,1,3,2
553,553,Maya Agarwal,37,2,2,2,2
554,554,Ekani Banerjee,43,3,3,2,2
555,555,Guneet Wable,23,4,2,4,1
556,556,Edhitha Sunder,67,5,4,4,1
557,557,Eesha Choudhary,61,1,3,1,1
558,558,Rishi Patla,54,3,4,3,1
559,559,Tristan Sandal,63,3,1,2,1
560,560,Ayush Sridhar,27,3,4,1,1
561,561,Anusha Halder,51,5,3,3,2
562,562,Ishani Biswas,55,1,3,1,2
563,563,Qadim Brahmbhatt,47,5,3,2,1
564,564,Mekhala Sharaf,21,2,3,4,1
565,565,Arya Karan,57,4,1,1,1
566,566,Lavanya Mani,55,1,3,1,2
567,567,Noah Hayre,55,2,1,2,2
568,568,Indrajit Bal,40,2,2,1,1
569,569,Michael Agarwal,59,4,1,4,1
570,570,Azad Gulati,23,2,3,4,1
571,571,Krishna Varughese,53,3,4,4,1
572,572,Pooja Sidhu,66,2,2,3,2
573,573,Tanvi Mangal,58,1,2,3,1
574,574,Panini Nanda,60,3,4,2,1
575,575,Nirja Sankaran,69,3,4,3,1
576,576,Dominic Handa,51,4,4,1,1
577,577,Inaya Sura,28,1,2,4,1
578,578,Rushil Lad,40,1,2,1,2
579,579,Vivaan Manda,23,1,1,2,2
580,580,Chandresh Som,63,5,4,2,1
581,581,Darsh Bhavsar,23,1,3,3,2
582,582,Nathan Bhattacharyya,26,2,1,1,2
583,583,Gagan Gala,49,5,4,4,2
584,584,Ekaja Kanda,67,2,1,2,1
585,585,Yashoda Chaudry,55,1,1,1,2
586,586,Ranveer Goda,32,2,3,2,1
587,587,Varenya Choudhry,23,4,1,1,2
588,588,Aditya Lata,24,4,4,3,2
589,589,Tamanna Murty,33,1,3,1,1
590,590,Ekapad Khatri,65,4,2,1,1
591,591,Jagat Reddy,41,1,1,2,1
592,592,Anita Sani,60,1,3,4,1
593,593,Rachit Joshi,38,4,3,1,1
594,594,Sudiksha Pandya,52,1,4,3,1
595,595,Aarnav Din,65,5,3,4,1
596,596,Oviya Sant,21,4,4,2,2
597,597,Yashodhara Narang,40,2,1,3,2
598,598,Rishi Borde,67,4,4,3,1
599,599,Neelima Bhasin,30,2,4,4,2
600,600,Kamya Brahmbhatt,61,2,3,3,2
601,601,Omkaar Narula,52,5,4,4,1
602,602,Oliver Pai,45,1,2,4,1
