EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
75,17,140,1,1,KGID44237,Lucky,1983-07-10,2,1,0,2022-11-03
76,31,255,5,1,KGID88193,Thomas,1979-02-22,2,7,0,2012-10-28
77,9,85,2,3,KGID77033,Atharv,1976-02-21,1,5,0,2022-10-22
78,30,247,5,1,KGID67154,Dakshesh,1995-07-10,1,6,0,2008-10-10
79,14,113,4,2,KGID19171,Suhani,1984-04-13,2,6,0,2009-01-26
80,27,224,2,3,KGID26334,Avi,1972-09-17,2,5,0,2011-08-18
81,5,55,2,3,KGID63528,Max,1970-06-13,2,3,0,2014-12-30
82,24,201,1,1,KGID65108,Daniel,1986-07-16,2,3,0,2020-09-17
83,5,42,6,3,KGID84593,Isaiah,1993-12-10,1,5,0,2024-05-01
84,5,52,3,2,KGID37549,Ranveer,1982-11-17,2,8,0,2021-08-12
85,5,45,3,2,KGID67954,Manthan,1996-10-25,2,3,0,2021-02-21
86,29,242,3,3,KGID21114,Michael,1986-11-24,2,2,0,2008-08-07
87,2,9,2,1,KGID98184,Chandran,1999-10-17,1,3,0,2013-08-15
88,4,28,6,1,KGID16057,Hitesh,1976-07-21,2,2,0,2009-04-24
89,14,114,1,2,KGID64321,Gaurangi,1975-09-17,1,7,0,2012-06-19
90,17,140,1,2,KGID62383,Baljiwan,1972-11-16,1,2,0,2006-08-23
91,5,53,6,2,KGID38683,Samarth,1982-11-17,2,1,0,2022-07-16
92,30,248,2,3,KGID42662,Mugdha,1968-08-29,1,8,0,2014-06-05
93,16,129,3,1,KGID70901,Maanas,1991-08-09,2,8,0,2016-03-03
94,3,12,3,3,KGID76162,Utkarsh,1969-12-21,2,3,0,2014-06-29
95,20,167,5,3,KGID72216,Kevin,1994-05-10,1,5,0,2013-04-13
96,9,85,6,3,KGID73517,Simon,1971-06-16,2,8,0,2025-01-29
97,19,157,4,1,KGID47450,Isaiah,1989-08-02,2,6,0,2011-08-15
98,25,211,4,3,KGID20561,Kiaan,1995-09-05,1,7,0,2011-05-23
99,26,218,2,3,KGID30028,Balendra,1969-07-31,1,7,0,2012-03-13
100,28,231,3,2,KGID53369,Mitesh,1987-10-18,2,1,0,2016-05-15
101,24,199,6,1,KGID65069,Theodore,1971-10-13,1,7,0,2022-07-01
102,19,155,4,2,KGID10772,Nidra,1991-05-11,2,7,0,2020-03-31
103,18,147,4,2,KGID80545,Laban,1984-07-30,1,8,0,2024-12-03
104,22,185,5,1,KGID45774,Yatin,1982-06-12,1,7,0,2009-04-15
105,3,16,1,2,KGID97670,Anmol,1997-10-24,2,3,0,2021-04-02
106,22,182,3,2,KGID26728,Ojasvi,1988-02-03,1,7,0,2015-01-26
107,10,89,1,3,KGID83975,Agastya,1970-08-28,1,7,0,2014-05-04
108,10,91,5,1,KGID70515,Advaith,1993-07-28,2,7,0,2015-09-21
109,28,234,6,2,KGID37742,Anmol,1993-07-07,2,7,0,2012-07-06
110,5,56,1,2,KGID65255,Wahab,1985-03-17,1,8,0,2021-08-06
111,21,175,5,1,KGID80702,Liam,1973-09-22,2,4,0,2021-05-19
112,23,191,2,3,KGID18993,Yatan,2000-07-09,1,1,0,2009-08-27
113,14,116,5,1,KGID36130,Vrinda,1979-05-23,1,4,0,2020-06-11
114,9,87,2,1,KGID72070,Ojas,1978-06-22,1,8,0,2010-02-09
115,11,97,1,3,KGID43586,Faris,1978-10-09,1,2,0,2020-07-22
116,5,38,5,1,KGID50768,Yug,1977-05-10,1,5,0,2020-03-05
117,18,152,2,3,KGID98781,Anita,1983-01-10,2,7,0,2009-07-19
118,25,214,1,3,KGID35995,Nakul,1976-02-20,1,2,0,2017-07-20
119,15,123,2,3,KGID49529,Devika,2000-07-24,1,1,0,2020-04-20
120,8,72,2,2,KGID79827,Aadi,1989-12-05,2,2,0,2025-01-05
121,19,157,6,3,KGID94874,Vihaan,1981-08-11,2,8,0,2008-05-24
122,27,230,2,1,KGID66822,Ijaya,1985-03-10,2,3,0,2018-11-11
123,24,197,3,2,KGID33086,Zaid,1988-10-30,2,8,0,2021-08-04
124,19,154,3,2,KGID67091,Ati,1974-06-23,2,6,0,2015-08-21
125,29,244,4,1,KGID21359,Dominic,1999-02-11,2,4,0,2016-05-08
126,7,70,6,2,KGID84691,Theodore,1997-07-09,2,6,0,2023-01-16
127,9,80,4,1,KGID74789,Divya,1968-07-13,1,8,0,2014-09-10
128,8,75,1,1,KGID56507,Fariq,1978-02-14,2,5,0,2025-04-17
129,17,139,5,3,KGID46211,Abhimanyu,1986-05-05,1,2,0,2020-06-07
130,5,36,4,1,KGID63271,Chakradhar,1975-03-13,1,8,0,2010-05-31
131,30,249,4,3,KGID74332,Vihaan,1999-10-10,1,2,0,2010-07-19
132,16,128,2,2,KGID39045,Faraj,1984-07-04,1,5,0,2016-06-25
133,18,152,3,3,KGID86225,Laban,1981-09-08,2,7,0,2022-12-20
134,19,163,5,3,KGID82140,Warinder,1975-11-04,2,5,0,2022-02-03
135,31,259,6,2,KGID42951,Elijah,1980-08-08,1,6,0,2013-01-13
136,16,129,4,1,KGID80236,Yashoda,1992-12-10,1,4,0,2011-03-13
137,30,249,6,1,KGID73464,Bakhshi,1976-12-13,2,2,0,2020-09-01
138,7,69,3,1,KGID48829,Onkar,1999-05-04,1,5,0,2023-10-29
139,29,241,6,1,KGID80010,Kiaan,1995-06-21,1,1,0,2006-08-21
140,5,36,5,3,KGID48290,Lohit,1992-04-03,1,8,0,2016-09-16
141,22,179,6,1,KGID11607,Yash,1996-12-28,2,8,0,2011-08-10
142,13,108,2,2,KGID54657,Udant,1985-11-16,1,5,0,2023-01-12
143,27,230,6,2,KGID24953,Pooja,1978-11-11,2,8,0,2025-04-30
144,19,159,3,1,KGID85631,Ranbir,1983-01-16,1,3,0,2017-07-01
145,8,72,1,1,KGID83772,Ijaya,2000-12-02,1,4,0,2014-09-04
146,20,168,6,1,KGID83147,Rehaan,1975-07-01,1,7,0,2020-07-11
147,9,85,3,2,KGID68028,Anthony,1978-05-18,2,5,0,2022-08-23
148,1,5,3,3,KGID91399,Rayaan,1980-09-08,1,4,0,2011-09-23
149,5,57,6,3,KGID37659,Yug,2000-05-18,1,3,0,2007-10-24
150,23,192,2,1,KGID32782,Dev,1984-08-22,1,1,0,2017-11-05
151,8,75,6,2,KGID69048,Chandresh,1997-04-18,2,5,0,2021-07-13
152,20,168,4,1,KGID40340,Chandresh,1985-06-12,2,8,0,2022-02-05
153,7,70,6,1,KGID40595,Advika,1992-02-18,1,7,0,2011-06-16
154,5,45,1,1,KGID81376,Samarth,1997-03-08,1,5,0,2011-10-21
155,18,146,6,1,KGID19359,Baljiwan,1983-07-11,2,5,0,2015-07-27
156,5,52,5,2,KGID26299,Omkaar,1988-10-03,2,7,0,2020-01-28
157,10,90,5,2,KGID75597,Banjeet,1996-07-13,2,2,0,2017-09-24
158,18,152,3,3,KGID15224,Sachi,2000-01-06,2,5,0,2017-04-29
159,6,59,5,1,KGID21970,Yagnesh,1997-03-26,1,5,0,2024-12-16
160,4,27,2,3,KGID15273,Andrew,1988-07-23,1,8,0,2008-11-17
161,5,40,5,3,KGID95394,Jacob,1989-01-09,2,3,0,2016-04-30
162,1,5,5,3,KGID67132,Ishaan,1992-12-16,2,2,0,2009-08-17
163,24,202,1,2,KGID55607,Teerth,2000-11-02,2,2,0,2009-11-25
164,18,148,5,1,KGID53228,Chandresh,1982-08-24,2,5,0,2012-03-18
165,6,60,2,3,KGID62488,Netra,1998-04-16,1,8,0,2007-07-15
166,17,143,1,1,KGID51224,Arin,1978-08-03,1,7,0,2008-06-17
167,3,12,2,3,KGID10150,Manan,1979-09-30,2,7,0,2019-04-22
168,17,138,3,1,KGID34586,Tanveer,1972-07-03,2,8,0,2014-11-10
169,4,25,1,1,KGID36680,Samesh,1986-10-22,1,5,0,2012-09-04
170,14,118,4,2,KGID73532,Frederick,1973-07-04,1,3,0,2009-03-28
171,17,143,1,2,KGID82199,Rayaan,1988-08-20,2,2,0,2014-09-29
172,5,51,4,1,KGID24871,Yuvraj,1998-08-11,1,3,0,2011-06-03
173,31,259,1,2,KGID48254,Jack,1983-03-29,2,7,0,2015-03-12
174,21,178,5,2,KGID71894,Victor,1976-03-28,1,7,0,2006-11-14
175,17,141,4,1,KGID88561,Viraj,1998-03-19,1,2,0,2016-05-03
176,31,259,6,2,KGID64387,Farhan,1970-01-23,2,1,0,2021-07-31
177,11,96,4,2,KGID49132,Pooja,2001-02-26,2,3,0,2016-09-23
178,5,52,2,2,KGID80592,Simon,1991-01-14,2,7,0,2015-01-23
179,23,188,2,2,KGID52176,Vasatika,1996-04-24,1,7,0,2016-10-30
180,9,84,4,1,KGID63841,Hardik,1980-08-21,2,7,0,2022-12-29
181,9,79,1,2,KGID96991,Chatresh,1975-08-15,1,8,0,2019-07-12
182,23,191,3,1,KGID26547,Praneel,1987-02-09,2,2,0,2016-08-13
183,24,204,3,2,KGID23069,Manbir,1968-04-18,2,1,0,2020-01-07
184,16,126,4,3,KGID28894,Laksh,1967-10-29,1,2,0,2008-03-21
185,13,109,6,2,KGID44737,Yuvraj,1995-11-21,2,2,0,2016-04-15
186,5,47,1,2,KGID98389,Jyoti,1988-03-16,2,6,0,2018-07-16
187,7,67,1,3,KGID73956,Januja,1989-03-18,1,2,0,2013-01-07
188,24,197,3,1,KGID92727,Jeremiah,1990-08-11,2,4,0,2011-03-16
189,5,36,3,3,KGID21846,Chanakya,1998-04-16,1,2,0,2007-11-22
190,12,101,3,2,KGID31805,Mohammed,1994-05-20,1,1,0,2021-07-20
191,8,76,4,2,KGID17355,Anay,1987-04-09,2,7,0,2018-12-19
192,1,5,3,1,KGID42007,Dominic,1970-08-14,1,3,0,2016-08-04
193,14,114,6,1,KGID20350,Nihal,1992-12-25,2,4,0,2020-09-08
194,3,19,2,2,KGID86435,Gagan,1974-05-20,2,5,0,2011-01-18
195,15,125,6,2,KGID43466,Qadim,1985-08-12,2,5,0,2023-08-17
196,31,262,2,3,KGID81643,Laban,1995-10-22,2,6,0,2012-02-24
197,2,10,1,3,KGID49210,Kabir,1998-08-26,2,5,0,2022-12-12
198,4,25,2,2,KGID49599,Manbir,1992-12-13,2,8,0,2018-01-28
199,28,240,3,1,KGID41091,Dakshesh,1983-06-27,2,5,0,2009-02-10
200,4,25,1,3,KGID48696,Ekavir,1993-03-18,2,5,0,2014-03-24
201,28,239,4,1,KGID84177,Sneha,2000-06-17,1,8,0,2025-07-07
202,19,154,1,2,KGID40162,Qadim,1970-08-16,2,4,0,2019-12-23
203,8,73,4,3,KGID34920,Abhimanyu,1976-07-19,1,2,0,2024-10-22
204,13,109,3,3,KGID94717,David,1983-01-09,2,1,0,2019-02-03
205,12,99,5,3,KGID57823,Karan,1987-06-10,1,5,0,2019-07-08
206,20,166,4,2,KGID64460,Quincy,1971-03-28,1,6,0,2014-07-04
207,19,160,6,3,KGID75771,Vrishti,1968-05-26,1,5,0,2017-09-17
208,25,209,4,2,KGID48684,Indrajit,1989-08-02,2,2,0,2008-09-13
209,5,49,4,2,KGID19869,Vincent,1998-06-29,1,7,0,2016-10-31
210,23,191,5,3,KGID57942,Samarth,1971-07-09,2,1,0,2011-04-23
211,4,26,4,2,KGID80329,Arin,1999-09-30,2,5,0,2007-10-26
212,7,66,5,3,KGID59941,Nidra,2001-06-08,2,2,0,2023-04-25
213,25,211,4,3,KGID40647,Dalbir,1970-11-09,2,4,0,2014-07-16
214,3,13,2,3,KGID18285,Ekansh,1980-10-09,2,5,0,2021-12-26
215,31,253,4,3,KGID63516,Qasim,1990-05-13,1,1,0,2024-12-06
216,5,37,6,2,KGID74569,Shaurya,1987-07-15,1,3,0,2011-10-23
217,5,55,2,2,KGID69459,Sarthak,1989-11-01,2,3,0,2009-12-02
218,27,229,4,2,KGID95841,Yash,1988-07-01,2,7,0,2020-06-08
219,26,218,1,2,KGID14288,Logan,1968-08-30,1,8,0,2019-02-27
220,24,202,6,2,KGID40947,Janani,1982-08-21,1,6,0,2021-09-06
221,9,84,2,3,KGID94518,Jacob,1996-08-28,2,5,0,2018-11-22
222,12,99,1,1,KGID26011,Chavvi,2000-12-04,2,2,0,2019-01-19
223,19,163,2,3,KGID37801,Praneel,1969-08-11,1,1,0,2020-02-05
224,10,91,1,2,KGID41925,Manya,1974-01-03,1,2,0,2010-09-16
225,31,261,3,3,KGID37152,Utkarsh,1970-09-02,1,6,0,2013-10-07
226,5,39,6,1,KGID88116,Advaith,1969-04-09,1,3,0,2017-11-24
227,16,126,5,3,KGID42853,Jairaj,2001-03-12,1,1,0,2010-11-01
228,20,169,3,1,KGID11947,Harshil,1969-11-19,1,6,0,2025-05-29
229,28,232,2,1,KGID32838,Hemang,1987-07-03,1,7,0,2013-11-24
230,19,156,2,3,KGID24896,Jackson,1978-09-24,2,8,0,2011-07-28
231,30,247,2,2,KGID77271,Aarav,1976-12-25,2,4,0,2011-06-23
232,19,157,6,3,KGID15683,Dhruv,1985-12-06,2,8,0,2015-01-30
233,9,86,5,3,KGID14082,Gagan,1971-04-17,2,7,0,2007-06-06
234,18,146,4,2,KGID99928,Dominic,1968-01-21,2,2,0,2018-09-28
235,26,220,6,1,KGID52219,Jagat,1987-08-03,1,3,0,2017-07-26
236,23,193,5,2,KGID91830,Abhiram,1973-06-24,2,7,0,2015-07-31
237,18,148,1,3,KGID79541,Atharv,1971-11-12,2,2,0,2020-11-15
238,14,116,5,3,KGID24996,Zansi,1971-06-02,1,7,0,2008-09-17
239,4,28,4,2,KGID39949,Wazir,1982-10-20,2,7,0,2018-11-14
240,6,64,4,2,KGID22463,Chatura,1982-12-06,2,5,0,2023-09-11
241,3,16,4,2,KGID30006,Indrajit,1999-09-20,2,2,0,2008-01-10
242,4,23,3,1,KGID21188,Matthew,1983-02-19,1,6,0,2007-08-12
243,22,182,6,1,KGID82924,Azaan,2001-07-12,2,2,0,2022-11-06
244,5,30,4,2,KGID56346,Suhani,1982-01-20,2,1,0,2010-03-23
245,18,151,6,2,KGID88696,Yatan,1991-10-16,1,4,0,2021-08-23
246,6,63,3,1,KGID96079,Balhaar,1998-02-23,1,6,0,2009-04-20
247,26,217,3,3,KGID58176,Naveen,1988-03-31,2,4,0,2011-08-07
248,28,236,3,2,KGID83526,Bhavini,1971-11-05,1,5,0,2015-11-28
249,7,70,1,1,KGID33647,Nicholas,1980-07-05,2,6,0,2024-08-08
250,7,69,5,2,KGID10800,Manan,1982-12-27,1,7,0,2023-10-02
251,6,60,4,1,KGID28595,Tanveer,1970-12-04,1,2,0,2010-06-11
252,6,61,6,3,KGID79531,Hritik,1982-03-08,2,8,0,2021-11-30
253,17,134,5,2,KGID30631,Ishaan,1981-08-18,2,2,0,2018-01-31
254,23,193,1,1,KGID30392,Utkarsh,1981-02-12,1,2,0,2020-09-14
255,9,85,3,2,KGID68079,Champak,1978-03-09,2,8,0,2021-01-26
256,10,92,6,2,KGID45804,Naksh,1990-03-07,1,6,0,2015-03-23
257,9,79,4,2,KGID24534,Rachit,1999-12-30,2,5,0,2011-09-29
258,5,45,2,1,KGID38903,Warjas,1969-11-01,1,1,0,2009-08-27
259,16,128,4,1,KGID49507,Chaman,1970-09-21,1,5,0,2021-03-31
260,4,27,2,2,KGID53007,Chanakya,1992-11-19,2,7,0,2019-03-26
261,19,158,5,1,KGID26932,Dhruv,1986-06-25,1,6,0,2008-08-04
262,20,167,4,1,KGID62044,Omya,1990-05-07,1,7,0,2010-09-17
263,5,38,3,1,KGID70260,Tripti,1979-08-01,2,7,0,2020-12-10
264,5,53,6,3,KGID63008,Atharv,2000-07-01,2,5,0,2016-05-03
265,14,115,6,1,KGID63088,Nachiket,1979-07-08,2,3,0,2010-01-28
266,6,60,4,3,KGID70305,Yashica,1974-10-15,2,2,0,2011-10-25
267,30,252,3,2,KGID23875,Wridesh,1975-03-07,2,2,0,2010-03-26
268,5,50,3,2,KGID50668,Parth,1996-04-24,1,6,0,2025-06-24
269,23,196,2,1,KGID20011,Qarin,1971-06-17,1,4,0,2016-01-11
270,31,257,3,2,KGID56019,Isaiah,1995-01-06,1,4,0,2021-02-24
271,23,190,5,1,KGID29194,Agastya,1988-04-09,1,3,0,2015-08-26
272,23,190,2,3,KGID19876,Akshay,1973-09-09,2,8,0,2015-11-07
273,23,195,3,3,KGID85952,Mohammed,1998-11-27,2,6,0,2018-02-11
274,30,250,2,1,KGID67640,Parth,1967-10-04,2,5,0,2012-09-21
275,6,61,4,2,KGID87518,Ekbal,1986-10-26,1,5,0,2020-03-09
276,21,177,1,2,KGID69233,Bakhshi,1972-05-18,2,5,0,2007-08-05
277,24,204,1,1,KGID94497,Chandani,1992-12-08,1,7,0,2024-08-07
278,25,215,3,2,KGID86064,Hritik,1980-05-08,1,8,0,2020-11-01
279,6,62,2,3,KGID95437,Utkarsh,1979-02-24,2,3,0,2011-11-28
280,17,137,1,1,KGID69050,Qasim,1978-02-25,2,2,0,2017-08-03
281,5,38,3,3,KGID94689,Brijesh,1997-08-09,1,8,0,2008-05-04
282,31,253,3,2,KGID78690,Faras,1972-11-27,1,6,0,2008-03-30
283,16,132,1,2,KGID47079,Banjeet,1976-10-22,2,1,0,2021-08-17
284,19,153,4,3,KGID94843,Simon,1984-01-28,2,2,0,2021-08-04
285,9,81,4,3,KGID98916,Sarthak,1976-11-04,2,3,0,2013-11-19
286,16,133,5,2,KGID20682,Dakshesh,1979-04-18,1,6,0,2021-03-06
287,9,80,3,2,KGID95990,Christopher,1977-03-10,2,3,0,2023-02-09
288,15,124,4,3,KGID21104,Mitesh,1969-02-04,2,6,0,2014-01-20
289,20,166,1,1,KGID97833,Rudra,2001-01-17,1,7,0,2008-05-31
290,4,21,3,3,KGID57425,Aarush,1974-07-04,2,3,0,2016-10-21
291,25,207,3,1,KGID54791,Jagvi,1993-08-29,2,4,0,2011-03-22
292,18,148,3,1,KGID28030,Joshua,1977-05-26,2,2,0,2017-09-18
293,4,23,1,3,KGID80748,Dipta,1967-10-25,1,6,0,2023-06-23
294,19,156,1,3,KGID27176,Tanveer,1973-07-12,1,3,0,2010-12-12
295,16,126,1,1,KGID91885,Sachi,1985-09-02,1,8,0,2014-05-19
296,5,30,1,1,KGID63852,Zashil,1986-07-24,1,8,0,2018-08-08
297,5,37,3,3,KGID47346,Balendra,1981-01-22,2,4,0,2007-12-28
298,9,86,1,3,KGID41348,Tejas,1968-03-09,2,4,0,2022-03-12
299,17,137,3,2,KGID98907,Brinda,1996-11-18,2,8,0,2017-03-15
300,18,152,5,2,KGID60052,Tanish,1987-01-22,2,3,0,2020-04-23
301,18,146,5,1,KGID89254,Sathvik,1977-05-26,2,1,0,2010-06-21
302,28,239,2,3,KGID72991,Tanmayi,1968-04-05,1,2,0,2017-08-08
303,25,215,2,2,KGID20993,Frederick,1994-10-25,2,8,0,2022-03-16
304,22,182,4,3,KGID29313,Radhika,1970-07-20,1,4,0,2021-05-30
305,27,227,2,2,KGID55820,Damyanti,1975-10-30,2,1,0,2021-05-17
306,28,231,2,2,KGID75799,Sai,1985-05-18,2,2,0,2009-03-24
307,8,74,1,2,KGID39430,Rudra,1997-03-03,1,6,0,2017-02-08
308,5,34,2,1,KGID28035,Omkaar,1975-02-02,2,3,0,2017-11-19
309,16,127,1,3,KGID71487,Frado,1970-02-24,1,2,0,2023-12-03
310,3,20,5,1,KGID43544,Dakshesh,1985-08-09,1,7,0,2023-11-26
311,31,255,4,1,KGID47762,Gunbir,1998-05-17,1,1,0,2018-06-09
312,26,219,1,1,KGID65027,Parth,1992-04-19,2,2,0,2011-07-30
313,28,235,1,1,KGID75513,Jacob,1971-01-18,1,4,0,2011-07-14
314,28,234,3,3,KGID28818,Kabir,1974-04-06,1,6,0,2012-06-15
315,9,83,4,1,KGID84798,Faraj,1993-06-01,1,6,0,2009-02-11
316,24,199,3,1,KGID78951,Gaurang,1999-12-02,1,7,0,2023-05-13
317,31,259,3,2,KGID15706,Vincent,1993-03-21,2,5,0,2021-10-28
318,18,145,5,3,KGID12128,Neel,1996-12-15,1,6,0,2017-04-22
319,27,227,4,1,KGID96127,Faqid,1982-07-07,2,3,0,2008-11-15
320,29,246,3,1,KGID56176,Wahab,1982-08-06,1,8,0,2016-11-08
321,23,192,3,3,KGID72722,Laksh,1987-09-03,1,2,0,2008-06-18
322,31,254,6,3,KGID69988,Patrick,1984-10-23,1,1,0,2009-01-28
323,7,71,3,1,KGID15492,Mohammed,1983-04-06,2,7,0,2021-12-05
324,6,64,4,3,KGID72049,Anirudh,1969-06-27,1,5,0,2019-02-05
325,12,104,2,2,KGID16265,Mekhala,1970-02-28,2,5,0,2009-08-16
326,4,21,3,1,KGID58237,Zehaan,1980-08-19,2,8,0,2022-04-18
327,9,84,3,2,KGID54438,Anvi,1982-11-08,2,8,0,2012-12-15
328,28,233,6,2,KGID78062,Naveen,1988-02-19,1,7,0,2022-09-25
329,7,67,3,1,KGID66440,Zashil,1972-09-06,1,5,0,2008-08-27
330,31,257,5,2,KGID23447,Umang,1971-01-27,2,5,0,2018-03-28
331,31,263,6,2,KGID88986,Brijesh,1984-09-19,1,8,0,2012-06-03
332,31,259,2,2,KGID68606,Anmol,1975-12-24,2,7,0,2021-06-12
333,4,27,3,2,KGID93816,Urvashi,1985-05-19,1,2,0,2024-05-03
334,28,236,3,3,KGID93560,Fariq,1979-12-07,1,1,0,2019-03-28
335,3,12,1,1,KGID89635,Lohit,1980-09-24,2,1,0,2020-06-17
336,5,44,2,1,KGID18812,Omkaar,1990-08-26,2,6,0,2008-05-01
